frame.time_relative,frame.len,ip.src,ip.dst
0.000000000,75,172.19.0.2,172.19.0.3
0.000148000,66,172.19.0.3,172.19.0.2
0.000532000,75,172.19.0.3,172.19.0.4
0.000563000,75,172.19.0.2,172.19.0.3
0.000587000,66,172.19.0.3,172.19.0.2
0.000644000,66,172.19.0.4,172.19.0.3
0.000690000,70,172.19.0.3,172.19.0.2
0.000793000,66,172.19.0.2,172.19.0.3
0.000940000,75,172.19.0.3,172.19.0.4
0.000992000,66,172.19.0.4,172.19.0.3
0.001049000,70,172.19.0.3,172.19.0.2
0.001121000,66,172.19.0.2,172.19.0.3
0.001464000,70,172.19.0.4,172.19.0.3
0.001488000,66,172.19.0.3,172.19.0.4
0.002219000,75,172.19.0.2,172.19.0.3
0.002240000,66,172.19.0.3,172.19.0.2
0.002261000,70,172.19.0.4,172.19.0.3
0.002284000,66,172.19.0.3,172.19.0.4
0.002536000,75,172.19.0.3,172.19.0.4
0.002621000,66,172.19.0.4,172.19.0.3
0.002664000,70,172.19.0.3,172.19.0.2
0.002816000,66,172.19.0.2,172.19.0.3
0.003355000,70,172.19.0.4,172.19.0.3
0.003376000,66,172.19.0.3,172.19.0.4
1.000598000,76,172.19.0.2,172.19.0.3
1.000775000,66,172.19.0.3,172.19.0.2
1.001089000,76,172.19.0.3,172.19.0.4
1.001208000,66,172.19.0.4,172.19.0.3
1.001254000,70,172.19.0.3,172.19.0.2
1.001309000,66,172.19.0.2,172.19.0.3
1.001751000,76,172.19.0.2,172.19.0.3
1.001775000,66,172.19.0.3,172.19.0.2
1.001978000,70,172.19.0.4,172.19.0.3
1.002020000,66,172.19.0.3,172.19.0.4
1.002221000,76,172.19.0.2,172.19.0.3
1.002240000,66,172.19.0.3,172.19.0.2
1.002611000,76,172.19.0.3,172.19.0.4
1.002765000,70,172.19.0.3,172.19.0.2
1.002993000,66,172.19.0.2,172.19.0.3
1.003343000,70,172.19.0.3,172.19.0.2
1.003493000,66,172.19.0.2,172.19.0.3
1.004213000,70,172.19.0.4,172.19.0.3
1.004279000,76,172.19.0.3,172.19.0.4
1.004812000,70,172.19.0.4,172.19.0.3
1.004836000,66,172.19.0.3,172.19.0.4
2.002143000,76,172.19.0.2,172.19.0.3
2.002207000,66,172.19.0.3,172.19.0.2
2.002455000,76,172.19.0.3,172.19.0.4
2.002575000,70,172.19.0.3,172.19.0.2
2.002593000,76,172.19.0.2,172.19.0.3
2.002636000,66,172.19.0.2,172.19.0.3
2.002701000,70,172.19.0.3,172.19.0.2
2.002751000,66,172.19.0.2,172.19.0.3
2.003225000,70,172.19.0.4,172.19.0.3
2.003229000,76,172.19.0.2,172.19.0.3
2.003252000,76,172.19.0.3,172.19.0.4
2.003523000,70,172.19.0.3,172.19.0.2
2.003544000,70,172.19.0.4,172.19.0.3
2.003573000,76,172.19.0.3,172.19.0.4
2.003620000,66,172.19.0.2,172.19.0.3
2.003998000,70,172.19.0.4,172.19.0.3
2.004045000,66,172.19.0.3,172.19.0.4
3.002888000,76,172.19.0.2,172.19.0.3
3.004775000,76,172.19.0.3,172.19.0.4
3.005019000,70,172.19.0.3,172.19.0.2
3.005107000,66,172.19.0.2,172.19.0.3
3.005280000,76,172.19.0.2,172.19.0.3
3.005685000,70,172.19.0.3,172.19.0.2
3.005780000,66,172.19.0.2,172.19.0.3
3.005842000,76,172.19.0.2,172.19.0.3
3.006160000,70,172.19.0.4,172.19.0.3
3.006233000,76,172.19.0.3,172.19.0.4
3.006942000,70,172.19.0.4,172.19.0.3
3.006967000,66,172.19.0.3,172.19.0.4
3.007128000,76,172.19.0.3,172.19.0.4
3.007212000,70,172.19.0.3,172.19.0.2
3.007369000,66,172.19.0.2,172.19.0.3
3.007379000,70,172.19.0.4,172.19.0.3
3.007402000,66,172.19.0.3,172.19.0.4
4.002875000,76,172.19.0.2,172.19.0.3
4.003311000,76,172.19.0.3,172.19.0.4
4.003428000,70,172.19.0.3,172.19.0.2
4.003522000,66,172.19.0.2,172.19.0.3
4.003793000,70,172.19.0.4,172.19.0.3
4.003816000,66,172.19.0.3,172.19.0.4
4.004955000,76,172.19.0.2,172.19.0.3
4.005951000,76,172.19.0.3,172.19.0.4
4.006193000,70,172.19.0.3,172.19.0.2
4.006296000,76,172.19.0.2,172.19.0.3
4.006444000,70,172.19.0.3,172.19.0.2
4.006514000,66,172.19.0.2,172.19.0.3
4.006659000,70,172.19.0.4,172.19.0.3
4.006686000,76,172.19.0.3,172.19.0.4
4.006865000,70,172.19.0.4,172.19.0.3
4.006885000,66,172.19.0.3,172.19.0.4
5.005259000,76,172.19.0.2,172.19.0.3
5.006160000,76,172.19.0.3,172.19.0.4
5.006239000,70,172.19.0.3,172.19.0.2
5.006297000,76,172.19.0.2,172.19.0.3
5.006397000,70,172.19.0.3,172.19.0.2
5.006441000,66,172.19.0.2,172.19.0.3
5.006481000,76,172.19.0.2,172.19.0.3
5.006689000,70,172.19.0.4,172.19.0.3
5.006733000,76,172.19.0.3,172.19.0.4
5.007093000,70,172.19.0.4,172.19.0.3
5.007412000,76,172.19.0.3,172.19.0.4
5.007478000,70,172.19.0.3,172.19.0.2
5.007585000,66,172.19.0.2,172.19.0.3
5.007749000,70,172.19.0.4,172.19.0.3
5.050318000,66,172.19.0.3,172.19.0.4
6.007031000,76,172.19.0.2,172.19.0.3
6.007259000,76,172.19.0.3,172.19.0.4
6.007485000,70,172.19.0.3,172.19.0.2
6.007591000,66,172.19.0.2,172.19.0.3
6.007974000,76,172.19.0.2,172.19.0.3
6.008327000,70,172.19.0.3,172.19.0.2
6.008399000,76,172.19.0.2,172.19.0.3
6.008504000,70,172.19.0.4,172.19.0.3
6.008582000,76,172.19.0.3,172.19.0.4
6.008622000,70,172.19.0.3,172.19.0.2
6.008821000,66,172.19.0.2,172.19.0.3
6.009002000,70,172.19.0.4,172.19.0.3
6.009058000,76,172.19.0.3,172.19.0.4
6.009420000,70,172.19.0.4,172.19.0.3
6.009441000,66,172.19.0.3,172.19.0.4
7.006078000,76,172.19.0.2,172.19.0.3
7.007081000,76,172.19.0.3,172.19.0.4
7.007202000,70,172.19.0.3,172.19.0.2
7.007257000,76,172.19.0.2,172.19.0.3
7.007358000,70,172.19.0.3,172.19.0.2
7.007441000,66,172.19.0.2,172.19.0.3
7.007612000,70,172.19.0.4,172.19.0.3
7.007685000,76,172.19.0.3,172.19.0.4
7.007920000,70,172.19.0.4,172.19.0.3
7.007940000,66,172.19.0.3,172.19.0.4
7.008182000,76,172.19.0.2,172.19.0.3
7.008396000,76,172.19.0.3,172.19.0.4
7.008450000,70,172.19.0.3,172.19.0.2
7.008598000,66,172.19.0.2,172.19.0.3
7.008729000,70,172.19.0.4,172.19.0.3
7.008751000,66,172.19.0.3,172.19.0.4
8.007267000,76,172.19.0.2,172.19.0.3
8.008336000,76,172.19.0.3,172.19.0.4
8.008537000,70,172.19.0.3,172.19.0.2
8.008651000,76,172.19.0.2,172.19.0.3
8.008900000,70,172.19.0.3,172.19.0.2
8.008954000,66,172.19.0.2,172.19.0.3
8.009505000,70,172.19.0.4,172.19.0.3
8.009554000,76,172.19.0.3,172.19.0.4
8.009997000,70,172.19.0.4,172.19.0.3
8.010049000,66,172.19.0.3,172.19.0.4
8.010354000,76,172.19.0.2,172.19.0.3
8.010848000,76,172.19.0.3,172.19.0.4
8.010940000,70,172.19.0.3,172.19.0.2
8.011112000,66,172.19.0.2,172.19.0.3
8.012293000,70,172.19.0.4,172.19.0.3
8.012320000,66,172.19.0.3,172.19.0.4
9.010005000,76,172.19.0.2,172.19.0.3
9.010453000,76,172.19.0.3,172.19.0.4
9.010569000,70,172.19.0.3,172.19.0.2
9.010625000,76,172.19.0.2,172.19.0.3
9.010798000,70,172.19.0.3,172.19.0.2
9.010849000,66,172.19.0.2,172.19.0.3
9.011258000,70,172.19.0.4,172.19.0.3
9.011290000,76,172.19.0.3,172.19.0.4
9.011481000,76,172.19.0.2,172.19.0.3
9.011572000,70,172.19.0.4,172.19.0.3
9.011593000,66,172.19.0.3,172.19.0.4
9.011810000,76,172.19.0.3,172.19.0.4
9.011867000,70,172.19.0.3,172.19.0.2
9.012056000,66,172.19.0.2,172.19.0.3
9.012736000,70,172.19.0.4,172.19.0.3
9.012757000,66,172.19.0.3,172.19.0.4
10.009542000,76,172.19.0.2,172.19.0.3
10.009848000,76,172.19.0.3,172.19.0.4
10.009974000,70,172.19.0.3,172.19.0.2
10.010024000,76,172.19.0.2,172.19.0.3
